music_id,music_name
7783,"琥珀の祈り"
3727,"Déjà vu"
33,"バトルできゅんっ！なキングダム☆"
32,"Jumping Star"
34,"キラキラ☆恋ゴコロ"
9623,"In this World"
53,"わたしのさしすせそ"
54,"ふたりごはん"
7813,"Rosy"
40,"星織ユメミライ"
41,"Star Linker"
44,"あいのうた"
43,"キミの街へ☆彡"
45,"Just Love The Moment"
42,"Celestia"
46,"あの夏の宝物"
47,"セイリング!"
49,"想いの欠片"
52,"しあわせの場所"
55,"七色の地図"
56,"シアワセ♪"
57,"Heaven's gate"
58,"手紙"
59,"Song for…"
61,"INFINITE SKY"
62,"Sky is the limit"
63,"空恋 -sorakoi-"
64,"Sense of Life"
65,"Millions of You"
66,"NIGHT FLIGHT"
67,"マリンブルーに沿って"
68,"キスのひとつで"
70,"Girl meets Love"
71,"ピース"
72,"precious time"
39,"Revolving Summoner"
87,"BLADE LINKAGE"
88,"Blue on Blue"
6465,"Da!Da!Da!"
90,"Bum-out!"
91,"Cold sleep"
92,"hallucinate"
50,"大切な人へ"
93,"if"
94,"Promising Observation"
95,"Private sky"
3669,"Pieces"
48,"未来航路"
96,"シアワセsummer"
97,"MAJICK"
98,"ヤキモチ☆ストリーム"
99,"primal"
100,"終わらない物語"
103,"時果つる夢"
80,"光の地図"
89,"箱庭ロジック"
3770,"null"
7962,"Shine"
101,"Wonderful! Wonderful!"
102,"Distorted Pain"
104,"Sudden Death R99"
7163,"初雪の日に"
182,"Be my darling！～悩める乙女の恋の歌～"
184,"Promise"
186,"月槍"
188,"ADHERENCE"
190,"シークレットゲーム"
192,"桜華想恋"
194,"Causal Chain"
196,"ひとつだけの願いごと"
198,"光の溢れるときには"
200,"Doki Dokiが止まらない"
202,"Tropical★Juice"
204,"せかいにさよなら"
7784,"イノセントクォーツ"
208,"花天"
210,"NO WAY"
213,"こいのうた"
215,"ツクモノツキ"
217,"Escape"
219,"白詰草"
7111,"覚醒 ～Brave mind～"
7329,"ひまわり"
8591,"恋ごころロマンス"
8291,"陽光を抱きしめて"
6848,"Grow me"
8369,"こころのゆくさき"
235,"トキメキ無敵!"
11152,"バイラ"
238,"キラメクヒカリ"
6538,"穏和"
251,"Revolution!"
253,"コイノハナ"
255,"たいせつなきみのために、ぼくにできるいちばんのこと"
8098,"adore"
405,"未来への咆哮"
265,"SAKURA ROUTE"
267,"ドキドキ☆Fallin'Love"
269,"glowing world ～輝きの、セカイへ～"
1526,"オモウチカラ"
273,"ドキドキ・キャッチ"
274,"Special day"
6912,"Pleasure garden"
276,"あっちこっちパラダイス"
277,"デウス・エクス・マキナ"
278,"An oath"
107,"うちゅうがとらぶる!"
2886,"せつなさのグラデイション"
221,"冬の誕生日"
286,"朝影"
223,"ランピン′"
225,"木漏れ日"
227,"Pastel World"
7115,"I will…"
8016,"月"
257,"フェアリーテイル"
244,"夏影ラピスラズリ"
105,"ワタシゴコロ"
106,"こもれび"
284,"pure snows"
108,"遠い夏"
109,"CHAIN"
110,"瞑想に堕ちる闇"
111,"ネムリノマユ"
112,"櫻舞う"
113,"Vampire"
114,"夢幻の睡り"
115,"White Wedding"
116,"まじげっちゅ"
117,"聖 ～ひじり～"
118,"Sweet trap"
119,"イノ血ノミズ"
120,"薄弱"
121,"Endless Corridor"
122,"Raison d'etre"
123,"サクラチル"
124,"Elder Things"
125,"expiate sin"
126,"Melancholic Rhythm"
127,"天使の褥"
128,"Erode"
129,"Endless ripples"
130,"機械人形"
131,"I pray"
132,"Nekuraholic"
8292,"純愛GirL"
134,"gemini"
135,"いにしえの風"
136,"しのぶれど"
258,"Unreal Color"
138,"舞い上がれ花吹雪"
139,"水の都の洋菓子店"
140,"異世界planet"
141,"夏の終焉り"
142,"月の鞠"
143,"陽溜まりの笑顔"
144,"Activity"
145,"Timeless Puzzle"
146,"キミと強さと優しさと"
147,"Flapping wish"
148,"夏の日のリフレイン"
149,"ユーフォリア"
150,"dear my sweet"
151,"combination somebody!"
152,"奇跡の欠片"
7803,"ゴー☆ホーム!"
154,"カタチないキオク"
155,"Glorious Days"
156,"Become Depraved"
157,"あたらしい場所へ…"
158,"夢飼い日和"
159,"アルカディア"
160,"シアワセノミライ"
161,"Miracle Flash"
162,"Cherish"
163,"MEMORIA"
9639,"初めての約束"
166,"UNLIMITED HEART"
167,"ひとなつの"
168,"Clover Day's"
169,"La eterno"
170,"紅蓮獄華"
171,"恋さくミライ"
172,"太陽とキミと"
173,"ゆらふわ Sunny day"
174,"ReANSWER"
175,"揺れ堕ちた想い"
176,"未来フラッグ"
177,"Art as ♡"
179,"君がいてくれたから"
7164,"内田川邊を歩く"
7090,"Viendarri"
185,"Lunatic delusion"
187,"ABSOLUTE"
189,"恋する姉妹☆ラ☆六重奏"
191,"トラワレビト"
193,"散って、咲いて"
195,"Sign"
6478,"双想歌"
199,"Eternal Wish"
201,"Power Of Love"
203,"nachu☆nachu"
205,"青空の彼方へ ～Greensleevesより～"
207,"紅空恋歌"
209,"Dancing in the moon light"
211,"アララト"
6921,"DIRTY DAHLIA"
214,"Love Paint"
216,"絆星"
218,"シナリオ"
2488,"distance"
7112,"LOVE SHIELD"
183,"かすみ草のゆめ"
7333,"邂逅のフェタリテート"
236,"Eternal season"
237,"Chaotic you"
8370,"Snow Mirage"
9724,"True your heart"
1071,"キミのとなりで恋がしたい！"
11199,"BLUE LAGOON"
245,"未来への欠片"
212,"Dreht Sich!"
955,"風の彼方"
254,"カラフル"
9313,"Beautiful Day"
2248,"Face of Fact"
266,"Ring"
268,"ヤクソク☆シンフォニー"
224,"ツブオト"
8911,"ココロネコ"
2497,"DOOR"
3196,"夏休み"
226,"虹の彼方へ"
228,"Precious"
230,"ltuad"
232,"世界を回して"
9014,"道"
260,"Thaw Song"
10193,"D"
1273,"Slave Soul"
282,"夏影"
283,"nostalgia"
285,"Last regrets -acoustic version-"
263,"嘘と真実"
9128,"Love song"
2161,"WORDS OF LOVE"
7165,"ガラスの瞳"
6749,"過去と夢"
7178,"Dead's dream"
336,"回想録"
342,"夢語り"
343,"虹"
345,"伝承"
347,"絵空事"
349,"理"
351,"蝉衣"
353,"月童"
355,"ふたり"
357,"銀色"
359,"羽根"
361,"Farewell song"
363,"Farewell song (short version)"
366,"Farewell song (off vocal version)"
3034,"幸せのオトシモノ"
6951,"パンドラの夢"
406,"翼"
372,"不可解な話"
374,"暴力反対！"
376,"恋の爆弾 ＜Instrument Version＞"
409,"幻想"
379,"美しき日々"
381,"青い鳥 ＜Instrument Version＞"
382,"お仕事します ＜Instrument Version＞"
383,"セレブの花道"
384,"急転直下"
385,"誰にも言えない秘密です ＜Instrument Version＞"
386,"だっしゅ☆ ＜Instrument Version＞"
387,"思い溢れて"
389,"胸躍る催事"
390,"凍りつく時"
391,"折れそうな心"
392,"静寂"
393,"どん底から…"
394,"鉄の意志"
395,"以心伝心"
396,"結ばれし想い"
397,"二人だけの空間"
398,"大団円"
399,"光差す未来 (Game Size)"
400,"卒業"
411,"Burst Dream"
6956,"届くはずのない手紙"
380,"Elegant Behavior"
388,"Graceful Waltz"
378,"Noble Life"
413,"君の夢のそばで"
7898,"True Blue"
324,"ドール"
331,"Stay -木漏れ日の中で-"
287,"the fox and the grapes"
288,"少女の檻"
289,"日溜まりの街"
290,"冬の花火"
291,"彼女たちの見解"
292,"風を待った日"
293,"凍土高原"
294,"残光"
295,"生まれたての風"
296,"Little fragments"
297,"朝影"
298,"夢の跡"
6425,"清々しい笹団扇"
300,"約束"
301,"2 steps toward"
302,"木々の声と日々のざわめき"
303,"彼女達の見解"
304,"pure snows"
305,"雪の少女"
306,"日溜まりの街"
307,"笑顔の向こう側に"
308,"the fox and the grapes"
309,"少女の檻"
310,"兆し"
311,"冬の花火"
312,"霧海"
313,"凍土高原"
314,"残光"
315,"風を待った日"
316,"生まれたての風"
7330,"恋するアスリート"
318,"Little fragments"
320,"風の辿り着く場所 (Short Version)"
9122,"メロメロHappy♪"
7592,"シアワセの理由"
7166,"真冬の香り"
1527,"約束の場所"
337,"野道"
339,"夏影"
341,"水たまり"
344,"てんとう虫"
346,"川"
348,"双星"
350,"縁"
352,"神薙"
354,"銀色 (orgel version)"
356,"此処"
407,"Carry on"
360,"夜想"
362,"鳥の詩 (short version)"
365,"鳥の詩 (off vocal version)"
358,"青空"
364,"Farewell song (dream version)"
410,"メグメル"
369,"綺羅びやかな朝"
371,"なんだこりゃ"
373,"迫る危機"
375,"愉快な仲間たち"
323,"Orange Pocket"
325,"てのひらを、たいように"
377,"Change&Chance! (Game Size)"
403,"Change&Chance! (Karaoke Version)"
370,"TO・HO・HO・NO・HO"
408,"汐"
6922,"象牙の塔"
414,"BREAKING!"
1873,"(a)SLOW STAR"
416,"My Dream＝My Will."
1281,"青いソラのおもいで"
1291,"Rolling Star☆彡"
1295,"White Season"
1298,"spillage"
1301,"散歩道"
1304,"Never end"
423,"Fight for the Future"
1306,"コンフェティ"
1308,"エピローグ"
426,"keep on Dreaming!"
427,"こたえ"
1310,"Thankful ～奇跡の明日へ～"
429,"my place"
7906,"約束"
431,"SHINY TRUTH"
1006,"君と二人で..."
417,"Dream ～The ally of～"
457,"音に出来る事"
459,"夜の向日葵"
444,"未来へのお守り"
418,"All my love of the World"
422,"Especially"
425,"TIME WILL SHINE"
434,"さよならの向こう側で"
435,"ラブソングを君に"
436,"1sec."
438,"with ～輝きのフィルム～"
440,"君のとなり"
439,"HAPPY CHERRY FESTA！"
441,"桜の羽根 ～Endless memory～"
442,"レンブラントの光"
443,"雨上がりに咲いた虹"
445,"今を生きて"
448,"一緒にDO MY BEST!!"
446,"Graduation from yesterday"
447,"恋のローラーコースター"
449,"Love Motion"
450,"桜風"
