music,uid,score
155,ahoudori,9
377,ahoudori,9
572,熊谷,10
550,熊谷,10
157,熊谷,9
428,熊谷,9
731,熊谷,9
994,rifanatominami,10
1003,rifanatominami,7
572,76421,7
996,ahoudori,9
575,76421,9
197,fsagagd,7
1646,ihave,6
627,fsagagd,7
1096,fsagagd,6
260,jeff11011,10
778,fsagagd,5
1948,fsagagd,7
60,h20911446,10
61,h20911446,10
63,h20911446,8
926,fsagagd,7
211,fsagagd,7
194,黄昏の統括者,5
64,h20911446,6
549,黄昏の統括者,5
635,黄昏の統括者,5
65,h20911446,6
607,黄昏の統括者,5
615,fsagagd,7
191,黄昏の統括者,5
1732,fsagagd,7
1132,Predawnvagabond,8
608,黄昏の統括者,3
742,101026,10
1411,saotomeTsukasa,9
561,黄昏の統括者,3
529,黄昏の統括者,5
207,duo112,2
66,h20911446,6
68,serorikon,10
535,黄昏の統括者,5
97,黄昏の統括者,3
3300,kitamisanii,7
615,ootachi877,8
536,黄昏の統括者,3
2553,H3O,4
158,黄昏の統括者,5
1763,ooishikent,7
251,黄昏の統括者,5
546,黄昏の統括者,9
1408,naritato,2
551,ootachi877,7
554,ootachi877,7
547,ootachi877,8
546,ootachi877,9
3480,k_nitta,2
552,ootachi877,4
548,ootachi877,2
549,ootachi877,5
1815,kuroroneko8963,10
543,ootachi877,4
544,ootachi877,6
545,ootachi877,3
542,ootachi877,3
1168,matumiya,7
556,ootachi877,3
613,ootachi877,2
1382,gigamari,3
606,ootachi877,4
610,ootachi877,3
550,ootachi877,4
561,ootachi877,4
563,ootachi877,4
562,ootachi877,4
541,seika,5
546,seika,6
544,seika,4
558,ootachi877,4
560,ootachi877,3
559,ootachi877,3
2959,tgl,9
5764,kihane,7
97,ootachi877,3
3331,ihave,2
338,ootachi877,10
362,ootachi877,10
9083,arkugia,10
7254,ion@erogekakaku,5
7795,gggrrr,10
2889,aiko1122,2
532,黄昏の統括者,9
5764,komarara,9
2307,abu3,7
70,ootachi877,3
503,ootachi877,8
7417,andworld,4
2309,abu3,7
410,ootachi877,5
368,ootachi877,8
377,ootachi877,8
1883,ootachi877,5
62,h20911446,6
579,ootachi877,6
579,unnomei,10
581,unnomei,7
580,unnomei,8
582,unnomei,8
583,unnomei,4
258,jeff11011,8
259,jeff11011,8
405,黄昏の統括者,5
1238,ryushasw,8
189,76421,8
459,うに大根,8
1281,死線の蒼,9
848,76421,7
9084,arkugia,9
853,76421,8
410,熊谷,10
531,熊谷,9
211,熊谷,8
199,熊谷,8
